Name	Cluster
iag universite catholique de louvain	Catholic University of Leuven
icc brussels	Vlerick Business School
icrc brussels	Vlerick Business School
iczo antwerp instituut voor complementair zorg onderwijs	Catholic University of Leuven
ih groep te leuven	Catholic University of Leuven
iham antwerp	University of Antwerp
iham antwerpen	University of Antwerp
iham paardemarkt antwerpen	University of Antwerp
ihb brussels	Free University of Brussels
ihbr brussel	Free University of Brussels
ihgl hasselt	University of Hasselt
ihr brussel	Free University of Brussels
ihr hasselt mol	University of Hasselt
ihrh hasselt	University of Hasselt
industriele hogeschool van het rijk hasselt	University of Hasselt
industriele hogeschool van het rijk te hasselt	University of Hasselt
intec brussels	Free University of Brussels
intecbrussel	Free University of Brussels
international school of brussels	Free University of Brussels
inventi sales academy antwerpen	University of Antwerp
k i h groep t leuven	Catholic University of Leuven
k i h o gent	Catholic University of Leuven
k u l leuven	Catholic University of Leuven
k u leuven	Catholic University of Leuven
ka2 de ring leuven	Catholic University of Leuven
ka3 gent	University of Ghent
kaho campus instituut te gent	Catholic University of Leuven
kardinaal mercier brussel	Vlerick Business School
kardinaal mercierinst brussel	Vlerick Business School
kask gent	Catholic University of Leuven
kath hogeschool groep t leuven	Catholic University of Leuven
kath industriele hogeschool groept leuven	Catholic University of Leuven
katho associatie kuleuven	Catholic University of Leuven
kathoieke universiteit leuven	Catholic University of Leuven
kathokieke industriele hogeschool antwerpen	Catholic University of Leuven
katholic universiteit leuven	Catholic University of Leuven
katholieke universiteit brussel	Catholic University of Leuven
katholieke universiteit leuven	Catholic University of Leuven
katholieke universiteit leuven k u leuven	Catholic University of Leuven
katholieke universiteit van leuven	Catholic University of Leuven
kh leuven	Catholic University of Leuven
khl leuven	Catholic University of Leuven
khl leuven departement rega	Catholic University of Leuven
khleuven	Catholic University of Leuven
khlim hasselt	University of Hasselt
kih groep t leuven	Catholic University of Leuven
kih oostende groep t leuven	Catholic University of Leuven
kiha antwerpen	University of Antwerp
kihb leuven groep t	Catholic University of Leuven
kihl hasselt	University of Hasselt
klu leuven	Catholic University of Leuven
koninklijk atheneum hasselt	Catholic University of Leuven
koninklijk atheneum redingenhof leuven	Catholic University of Leuven
koninklijke academie gent	Catholic University of Leuven
kta i hasselt	University of Hasselt
ku leuven	Catholic University of Leuven
ku leuven afdeling gent	Catholic University of Leuven
ku leuven belgium	Catholic University of Leuven
ku leuven campus	Catholic University of Leuven
ku leuven campus geel	Catholic University of Leuven
ku leuven campus groep t	Catholic University of Leuven
ku leuven campus groept	Catholic University of Leuven
ku leuven campus oostende	Catholic University of Leuven
ku leuven camus gent	Catholic University of Leuven
ku leuven faculteit industriële ingenieurswetenschappen campus groep t leuven	Catholic University of Leuven
ku leuven faculty of engineering technology de nayer campus	Catholic University of Leuven
ku leuven faculty of engineering technology ghent technology campus	University of Ghent
ku leuven faculty of engineering technology group t leuven campus	Catholic University of Leuven
ku leuven geel	Catholic University of Leuven
ku leuven gent	Catholic University of Leuven
ku leuven technologiecampus oostende	Catholic University of Leuven
kul	Catholic University of Leuven
kul afdeling kortrijk	Catholic University of Leuven
kul campus geel	Catholic University of Leuven
kul leuven	Catholic University of Leuven
kulak	Catholic University of Leuven
kulak kortrijk	Catholic University of Leuven
kulak ku leuven academie kortrijk	Catholic University of Leuven
kuleuven campus groept	Catholic University of Leuven
kuleuven en uhasselt	University of Hasselt
kuleuven groept	Catholic University of Leuven
kuleuven kulak	Catholic University of Leuven
kuleuven technologiecampus gent	University of Ghent
kuleuven ugent	University of Ghent
kunstacademy hasselt	University of Hasselt
lbc antwerpen	University of Antwerp
lessius antwerpen	University of Antwerp
limob hasselt	University of Hasselt
lindelei gent	University of Ghent
linguapolis antwerpen	University of Antwerp
linguapolis universiteit antwerpen	University of Antwerp
louvain	Catholic University of Leuven
louvain la neuve	Catholic University of Leuven
louvain school of management	Catholic University of Leuven
louvain school of management lsm universite catholique de louvain ucl	Catholic University of Leuven
lucina vormingsinstituut kul	Catholic University of Leuven
ma go antwerpen	University of Antwerp
mebs okulu ve egitim merkezi komutanligi	Catholic University of Leuven
miniemeninstituut leuven	Catholic University of Leuven
ocmw antwerpen	University of Antwerp
odisee gent	University of Ghent
odysee gent	University of Ghent
olvc antwerp	University of Antwerp
optie informatica vub	Catholic University of Leuven
orthodox theologisch instituut heilige johannes de theoloog gent	Catholic University of Leuven
paridaens instituut leuven	Catholic University of Leuven
pestalozzi antwerpen	University of Antwerp
phhi hasselt	University of Hasselt
phitc antwerpen	University of Antwerp
phl hasselt	University of Hasselt
phti gent	University of Ghent
piho gent	University of Ghent
pina antwerpen	University of Antwerp
pius x instituut antwerpen	Catholic University of Leuven
polytechnic school of brussels	Free University of Brussels
provinciale handelsschool hasselt	University of Hasselt
pxl hasselt	University of Hasselt
r u gent	University of Ghent
rega instituut leuven	Catholic University of Leuven
rijksuniversiteit gent	University of Ghent
rijksuniversiteit gent rug ir	University of Ghent
rijksuniverstiteit gent	University of Ghent
royal conservatory brussels	Catholic University of Leuven
ru gent	University of Ghent
ruca antwerp	University of Antwerp
ruca antwerpen	University of Antwerp
rug gent	University of Ghent
rugent	University of Ghent
sae brussel	Solvay Business School
sae brussels	Solvay Business School
sae instituut brussel	Catholic University of Leuven
sint henricusinstituut te antwerpen	Catholic University of Leuven
sint lodewijck instituut antwerpen	Catholic University of Leuven
sint lodewijk antwerpen nu karel de grote	Catholic University of Leuven
sint lodewijksinstituut antwerpen	Catholic University of Leuven
sint lukas brussel	University of Hasselt
sint lukas in brussel	University of Hasselt
slac conservatorium leuven	Catholic University of Leuven
solvay	Solvay Business School
solvay brussels school	Solvay Business School
solvay brussels school of economics and management	Solvay Business School
solvay business school	Solvay Business School
solvay business school vub	Solvay Business School
solvay université libre de bruxelles ulb	Solvay Business School
stedelijk academie hasselt	University of Hasselt
step hasselt	University of Hasselt
technical instituut gent oostakker	Catholic University of Leuven
technical school of antwerp	University of Antwerp
technicum antwerp	University of Antwerp
technicum antwerpen	University of Antwerp
technisch instituut gent	Catholic University of Leuven
technisch instituut h hart hasselt	University of Hasselt
technisch instituut heilig hart hasselt	Catholic University of Leuven
technologie campus te gent	University of Ghent
temata groep t leuven	Catholic University of Leuven
temata group t leuven	Catholic University of Leuven
thomas more ku leuven	Catholic University of Leuven
tihh hasselt	University of Hasselt
tna antwerpen	Catholic University of Leuven
u gent	University of Ghent
u hasselt	University of Hasselt
uams antwerpen	University of Antwerp
ucl kul	Catholic University of Leuven
ucl louvain la neuve	Catholic University of Leuven
ucl universite catholique de louvain la neuve	Catholic University of Leuven
ucl univesite catholique de louvain la neuve	Catholic University of Leuven
uclouvain	Catholic University of Leuven
uclouvain université catholique de louvain	Catholic University of Leuven
ufsia universiteit antwerpen	University of Antwerp
ugent	University of Ghent
uhasselt	University of Hasselt
uhasselt diepenbeek	Catholic University of Leuven
uhasselt kuleuven	University of Hasselt
uia antwerpen	University of Antwerp
ulb vub	Free University of Brussels
unief gent	University of Ghent
uniersity of ghent belgium	University of Ghent
unif gent	University of Ghent
univ gent	University of Ghent
univ hasselt en tu eindhoven	Catholic University of Leuven
universitaire instelling antwerpe uia	Catholic University of Leuven
universite catholique de louvain	Catholic University of Leuven
universite catholique de louvain la neuv	Catholic University of Leuven
universite catholique de louvain la neuve	Catholic University of Leuven
universite catholique de louvain u c l	Catholic University of Leuven
universite catholique de louvain ucl	Catholic University of Leuven
universite catholique de louvaine	Catholic University of Leuven
universite chatolique de louvain	Catholic University of Leuven
universite de louvain la neuve	Catholic University of Leuven
universiteit antwerpen	University of Antwerp
universiteit antwerpen management school	University of Antwerp
universiteit antwerpen ruca	University of Antwerp
universiteit gent	University of Ghent
universiteit gent ugent	University of Ghent
universiteit hasselt	University of Hasselt
universiteit hasselt xios	University of Hasselt
universiteit ruca antwerpen	University of Antwerp
universiteit van antwerpen	University of Antwerp
universiteit van louvain la neuve	Catholic University of Leuven
university gent	University of Ghent
university hasselt	University of Hasselt
university of antwerp	University of Antwerp
university of antwerp management school	University of Antwerp
university of antwerp ruca belgium	University of Antwerp
university of antwerp ufsia	University of Antwerp
university of brussels	Free University of Brussels
university of ghent	University of Ghent
university of ghent belgium	University of Ghent
university of ghent business engineering	University of Ghent
university of leuven kul	Catholic University of Leuven
université catholique de louvain	Catholic University of Leuven
université catholique de louvain la neuve	Catholic University of Leuven
universteit gent	University of Ghent
universtiteit antwerpen management school	University of Antwerp
veiligheidsinstitutuut antwerpen	Catholic University of Leuven
verick management school leuven gent	Vlerick Business School
vizo centrum hasselt	Catholic University of Leuven
vizo hasselt	University of Hasselt
vlaamse universiteit brussel vub	Free University of Brussels
vlekho brussel	Vlerick Business School
vlekho business school brussel	Vlerick Business School
vlerick business academy	Vlerick Business School
vlerick business school	Vlerick Business School
vlerick business school siemens management leadership program	Vlerick Business School
vlerick leuven	Vlerick Business School
vlerick leuven gent management school	Vlerick Business School
vlerick leuven gent management school siemens	Vlerick Business School
vlerick leuven ghent management school	Vlerick Business School
vlerick management school	Vlerick Business School
vrij technisch instituut vti leuven	Catholic University of Leuven
vrije universiteit brussel	Free University of Brussels
vts technicum antwerp	University of Antwerp
vts technicum antwerpen	University of Antwerp
vtst antwerpen	University of Antwerp
vub	Free University of Brussels
vub brussel	Free University of Brussels
vub kuleuven	Free University of Brussels
xios hasselt	University of Hasselt
